Destino Turístico,Historia/Información,Coordenada/Enlace Principal,Actividad 1,Enlace 1,Actividad 2,Enlace 2,Actividad 3,Enlace 3
Laguna Azufral,"Laguna de origen volcánico, famosa por su color verde esmeralda y rodeada de paisajes andinos únicos.",https://maps.app.goo.gl/azufral1,"Senderismo hasta la laguna.",https://maps.app.goo.gl/azufral2,"Fotografía de paisajes.",https://maps.app.goo.gl/azufral3,"Observación de flora y fauna.",https://maps.app.goo.gl/azufral4
Laguna Verde,"Laguna ubicada en el volcán Azufral, reconocida por su color intenso y biodiversidad.",https://maps.app.goo.gl/verde1,"Caminata ecológica.",https://maps.app.goo.gl/verde2,"Avistamiento de aves.",https://maps.app.goo.gl/verde3,"Picnic y descanso.",https://maps.app.goo.gl/verde4
Santuario de Las Lajas,"Santuario religioso y arquitectónico construido sobre el cañón del río Guáitara.",https://maps.app.goo.gl/lajas1,"Visita guiada al santuario.",https://maps.app.goo.gl/lajas2,"Fotografía arquitectónica.",https://maps.app.goo.gl/lajas3,"Recorrido por el puente y alrededores.",https://maps.app.goo.gl/lajas4
Volcán Galeras,"Volcán activo cerca de Pasto, importante por su historia geológica y cultural.",https://maps.app.goo.gl/galeras1,"Ascenso al volcán.",https://maps.app.goo.gl/galeras2,"Observación de flora y fauna.",https://maps.app.goo.gl/galeras3,"Fotografía panorámica.",https://maps.app.goo.gl/galeras4
Laguna Coba Negra,"Laguna en las faldas del Galeras, parte del Santuario de Flora y Fauna Galeras.",https://maps.app.goo.gl/zk5CGdJXn5cee8Pz7,"Observación de flora y fauna.",,"Caminatas y senderismo.",,"Paisajismo y fotografía.",
Laguna de la Cocha,"Segunda laguna más grande de Colombia, rodeada de naturaleza y cultura indígena.",https://maps.app.goo.gl/cocha1,"Paseo en lancha.",https://maps.app.goo.gl/cocha2,"Visita a la Isla La Corota.",https://maps.app.goo.gl/cocha3,"Gastronomía local.",https://maps.app.goo.gl/cocha4
Cascada El Salado,"Hermosa caída de agua natural en Chachagüí, ideal para ecoturismo y senderismo.",https://maps.app.goo.gl/z1RbbNd38NLYyPNV9,"Senderismo hasta la cascada.",,"Fotografía de paisaje.",,"Picnic y descanso.",
Cañón de Juanambú,"Lugar histórico de la Batalla de Juanambú, símbolo de la campaña libertadora.",https://maps.app.goo.gl/Tv1EaTSVviADJWcp9,"Rafting, kayak y bungee jumping.",https://maps.app.goo.gl/cmiQFzuSvVs7eSCu6,"Senderismo y avistamiento.",,"Natación y piscinas naturales.",https://maps.app.goo.gl/Ampta3KjR6AGE5oJ6
Cascadas de Wilque,"Tesoro natural en San Pablo, caídas de agua rodeadas de montañas y vegetación nativa.",https://maps.app.goo.gl/vmJc8dmi88bBv7vd7,"Fotografía de paisajes.",https://maps.app.goo.gl/kAzhT6cpoFGHd1c16,"Observación de flora y fauna.",,,
Piedra de Bolívar,"Sitio histórico en Consacá, conmemora la Batalla de Bomboná.",https://maps.app.goo.gl/pUj7LvkgTxJg2Jpy5,"Caminata ecológica.",https://maps.app.goo.gl/MWws8XghDjarmpEZ6,"Visita al monumento.",https://maps.app.goo.gl/pkXZT6gpeQ6g6QxH7,"Turismo rural.",https://maps.app.goo.gl/vKfRDN5vvqdeVNLTA
Páramo de Frailejones,"Ecosistema de alta montaña típico de los Andes, abundancia de frailejones.",https://maps.app.goo.gl/GBWXq2q6S7uPpggz7,"Senderismo por el páramo.",https://maps.app.goo.gl/Lxc3RiZxdegdHj7f8,"Vista a paisaje de frailejones.",https://maps.app.goo.gl/K43KXDSyGD6zpc4m7,,
Páramo Paja Blanca,"Área natural protegida vital para la región, biodiversidad y regulación del ciclo del agua.",https://maps.app.goo.gl/noNMQWBFNX8JfRdf8,"Eco recorridos.",,"Observar flora y fauna.",,"Siembra de árboles.",
Mirador Chimayoy,"Mirador dentro del Parque Natural Chimayoy, espacio de educación y conservación.",https://maps.app.goo.gl/8XtBXBMCvJZ9tBhU7,"Senderismo ecológico.",https://maps.app.goo.gl/8XtBXBMCvJZ9tBhU7,"Contemplación panorámica.",,"Picnic y descanso.",
El Dedo de Dios – Mallama,"Formación rocosa natural, símbolo espiritual y de biodiversidad.",https://maps.app.goo.gl/AVWpan4ELpWJWqDd8,"Caminata ecológica.",,"Fotografía panorámica.",,"Turismo espiritual.",
Cascada de los Chiguacos,"Cascada Descomulgada en Ipiales, entorno montañoso y naturaleza abundante.",https://maps.app.goo.gl/U4pqsbpvAJm7yDeFA,"Caminata cerca de las Cascadas Gemelas.",https://maps.app.goo.gl/U4pqsbpvAJm7yDeFA,"Senderismo hasta la cascada.",https://maps.app.goo.gl/qF5YrBsuvr4JpUWU6,"Fotografía de paisaje.",https://maps.app.goo.gl/qF5YrBsuvr4JpUWU6
Chorrera - Sector La Paila,"Lugar turístico en Pupiales, riqueza ambiental y potencial turístico.",https://maps.app.goo.gl/guW26F5yDcXKB7BQ6,"Visitar la Chorrera La Paila.",https://maps.app.goo.gl/guW26F5yDcXKB7BQ6,"Rutas de senderismo.",,"Explorar la región de Nariño.",
Balneario Los Rosales,"Espacio recreativo en Samaniego, rodeado de naturaleza y junto al río Pacual.",https://maps.app.goo.gl/uLQcEze1rwPVK6dD7,"Piscinas y chapuzón en familia.",https://maps.app.goo.gl/uKoH1nj7Wk7nZNvt6,"Caminatas ecológicas.",https://maps.app.goo.gl/fFpsHbnEJs3m3pS47,,
Centro Recreacional Un Sol Para Todos Comfamiliar Nariño,"Parque acuático y centro recreativo con piscinas, deportes, karts, paseos a caballo, alojamiento y salones para eventos.",https://maps.app.goo.gl/dZbqePAzaPEt2rty8,"Karts: pista para competencias.",https://maps.app.goo.gl/ddahSvwaHEM9SNYb7,"Piscinas con toboganes.",https://maps.app.goo.gl/SgtgSFjFcinsZNhSA,"Cascada El Salado.",https://maps.app.goo.gl/z1RbbNd38NLYyPNV9
Centro Recreacional Pedregal Río,"Piscinas, juegos infantiles, zona de comidas, salón de eventos y hospedaje.",https://maps.app.goo.gl/AQiC46YC887B55iv7,"Piscinas y toboganes.",https://maps.app.goo.gl/1nATrpRwcNeS4bNA7,"Hospedaje.",https://maps.app.goo.gl/jE3nPheBnVtJABzt6,,
Carnaval de Blancos y Negros,"Fiesta más importante del sur de Colombia, raíces prehispánicas y mezcla de tradiciones.",https://maps.app.goo.gl/emGoFm157KD336yt7,"Desfile de Colectivos Coreográficos.",,"Desfile de carrozas.",,"Desfile Carnavalito.",
Museo del Carnaval de Negros y Blancos,"Museo inaugurado en 2000, exhibe expresiones del Carnaval.",https://maps.app.goo.gl/W67A8az5n8fYJtir5,"Recorrido expositivo guiado.",,"Fotografía y apreciación visual.",,"Talleres y actividades educativas.",
Haciendas Cafeteras de Buesaco,"Reconocidas por producir algunos de los mejores cafés del mundo.",https://maps.app.goo.gl/UWK3DRJdzDiy75xK8,"Recorridos guiados por cultivos de café.",,"Degustación de café.",,"Actividades ecoturísticas.",
Sombreros de Toquilla (Sandona),"Producto artesanal ecuatoriano, muy relacionado con Colombia.",https://maps.app.goo.gl/s7LSfQHJJbQj44Ju8,"Elaboración artesanal de sombreros.",,"Aprendizaje de técnicas tradicionales.",,"Venta y comercialización.",
Reserva de Oso de Anteojos,"Especie vulnerable, protegida en la Reserva La Planada, gestionada por la comunidad Awá.",https://maps.app.goo.gl/vEctgmjc2ZimQBQW8,"Senderismo y avistamiento de aves y fauna.",https://maps.app.goo.gl/5XD64qFfFCuaekMfA,"Ecoturismo y convivencia con la comunidad Awá.",https://maps.app.goo.gl/DYLYzbezZfKrXW3f9,"Recorridos educativos sobre la protección del oso.",https://maps.app.goo.gl/ae2H1mqxcwok4Dum6
